frame	x	V
266	182333.61	16000.00
267	183000.27	16000.00
268	183666.94	16000.00
269	184333.61	16000.00
270	185000.27	16000.00
271	185666.94	16000.00
272	186333.61	16000.00
273	187000.27	16000.00
274	187666.94	16000.00
275	188333.61	16000.00
276	189000.27	16000.00
277	189666.94	16000.00
278	190333.61	16000.00
279	191000.27	16000.00
280	191666.94	16000.00
281	192333.61	16000.00
282	193000.27	16000.00
283	193666.94	16000.00
284	194333.61	16000.00
285	195000.27	16000.00
286	195666.94	16000.00
287	196333.61	16000.00
288	197000.27	16000.00
289	197666.94	16000.00
290	198333.61	16000.00
291	199000.27	16000.00
292	199666.94	16000.00
293	200333.61	16000.00
294	201000.27	16000.00
295	201666.94	16000.00
296	202333.61	16000.00
297	203000.27	16000.00
298	203666.94	16000.00
299	204333.61	16000.00
300	205000.27	16000.00
301	205666.94	16000.00
302	206333.61	16000.00
303	207000.27	16000.00
304	207666.94	16000.00
305	208333.61	16000.00
306	209000.27	16000.00
307	209666.94	16000.00
308	210333.61	16000.00
309	211000.27	16000.00
310	211666.94	16000.00
311	212333.61	16000.00
312	213000.27	16000.00
313	213666.94	16000.00
314	214333.61	16000.00
315	215000.27	16000.00
316	215666.94	16000.00
317	216333.61	16000.00
318	217000.27	16000.00
319	217666.94	16000.00
320	218333.61	16000.00
321	219000.27	16000.00
322	219666.94	16000.00
323	220333.61	16000.00
324	221000.27	16000.00
325	221666.94	16000.00
326	222333.61	16000.00
327	223000.27	16000.00
328	223666.94	16000.00
329	224333.61	16000.00
330	225000.27	16000.00
331	225666.94	16000.00
332	226333.61	16000.00
333	227000.27	16000.00
334	227666.94	16000.00
335	228333.61	16000.00
336	229000.27	16000.00
337	229666.94	16000.00
338	230333.61	16000.00
339	231000.27	16000.00
340	231666.94	16000.00
341	232333.61	16000.00
342	233000.27	16000.00
343	233666.94	16000.00
344	234333.61	16000.00
345	235000.27	16000.00
346	235666.94	16000.00
347	236333.61	16000.00
348	237000.27	16000.00
349	237666.94	16000.00
350	238333.61	16000.00
351	239000.27	16000.00
352	239666.94	16000.00
353	240333.61	16000.00
354	241000.27	16000.00
355	241666.94	16000.00
356	242333.61	16000.00
357	243000.27	16000.00
358	243666.94	16000.00
359	244333.61	16000.00
360	245000.27	16000.00
361	245666.94	16000.00
362	246333.61	16000.00
363	247000.27	16000.00
364	247666.94	16000.00
365	248333.61	16000.00
366	249000.27	16000.00
367	249666.94	16000.00
368	250333.61	16000.00
369	251000.27	16000.00
370	251666.94	16000.00
371	252333.61	16000.00
372	253000.27	16000.00
373	253666.94	16000.00
374	254333.61	16000.00
375	255000.27	16000.00
376	255666.94	16000.00
377	256333.61	16000.00
378	257000.27	16000.00
379	257666.94	16000.00
380	258333.61	16000.00
381	259000.27	16000.00
382	259666.94	16000.00
383	260333.61	16000.00
384	261000.27	16000.00
385	261666.94	16000.00
386	262333.61	16000.00
387	263000.27	16000.00
388	263666.94	16000.00
389	264333.61	16000.00
390	265000.27	16000.00
391	265666.94	16000.00
392	266333.61	16000.00
393	267000.27	16000.00
394	267666.94	16000.00
395	268333.61	16000.00
396	269000.27	16000.00
397	269666.94	16000.00
398	270333.61	16000.00
399	271000.27	16000.00
400	271666.94	16000.00
401	272333.61	16000.00
402	273000.27	16000.00
403	273666.94	16000.00
404	274333.61	16000.00
405	275000.27	16000.00
406	275666.94	16000.00
407	276333.61	16000.00
408	277000.27	16000.00
