frame	y	V
268	413333.33	16000.00
269	412666.67	16000.00
270	412000.00	16000.00
271	411333.33	16000.00
272	410666.67	16000.00
273	410000.00	16000.00
274	409333.33	16000.00
275	408666.67	16000.00
276	408000.00	16000.00
277	407333.33	16000.00
278	406666.67	16000.00
279	406000.00	16000.00
280	405333.33	16000.00
281	404666.67	16000.00
282	404000.00	16000.00
283	403333.33	16000.00
284	402666.67	16000.00
285	402000.00	16000.00
286	401333.33	16000.00
287	400666.67	16000.00
288	400000.00	16000.00
289	399333.33	16000.00
290	398666.67	16000.00
291	398000.00	16000.00
292	397333.33	16000.00
293	396666.67	16000.00
294	396000.00	16000.00
295	395333.33	16000.00
296	394666.67	16000.00
297	394000.00	16000.00
298	393333.33	16000.00
299	392666.67	16000.00
300	392000.00	16000.00
301	391333.33	16000.00
302	390666.67	16000.00
303	390000.00	16000.00
304	389333.33	16000.00
305	388666.67	16000.00
306	388000.00	16000.00
307	387333.33	16000.00
308	386666.67	16000.00
309	386000.00	16000.00
310	385333.33	16000.00
311	384666.67	16000.00
312	384000.00	16000.00
313	383333.33	16000.00
314	382666.67	16000.00
315	382000.00	16000.00
316	381333.33	16000.00
317	380666.67	16000.00
318	380000.00	16000.00
319	379333.33	16000.00
320	378666.67	16000.00
321	378000.00	16000.00
322	377333.33	16000.00
323	376666.67	16000.00
324	376000.00	16000.00
325	375333.33	16000.00
326	374666.67	16000.00
327	374000.00	16000.00
328	373333.33	16000.00
329	372666.67	16000.00
330	372000.00	16000.00
331	371333.33	16000.00
332	370666.67	16000.00
333	370000.00	16000.00
334	369333.33	16000.00
335	368666.67	16000.00
336	368000.00	16000.00
337	367333.33	16000.00
338	366666.67	16000.00
339	366000.00	16000.00
340	365333.33	16000.00
341	364666.67	16000.00
342	364000.00	16000.00
343	363331.91	16034.07
344	362659.66	16133.97
345	361980.79	16292.89
346	361293.29	16500.00
347	360595.74	16741.18
348	359887.41	17000.00
349	359168.29	17258.82
350	358439.13	17500.00
351	357701.33	17707.11
352	356956.91	17866.03
353	356208.33	17965.93
354	355458.33	18000.00
355	354709.75	17965.93
356	353965.34	17866.03
357	353227.54	17707.11
358	352498.37	17500.00
359	351779.26	17258.82
360	351070.92	17000.00
361	350373.37	16741.18
362	349685.87	16500.00
363	349007.00	16292.89
364	348334.75	16133.97
365	347666.67	16034.07
366	347000.00	16000.00
367	346333.33	16000.00
368	345666.67	16000.00
369	345000.00	16000.00
370	344333.33	16000.00
371	343666.67	16000.00
372	343000.00	16000.00
373	342333.33	16000.00
374	341666.67	16000.00
375	341000.00	16000.00
376	340333.33	16000.00
377	339666.67	16000.00
378	339000.00	16000.00
379	338333.33	16000.00
380	337666.67	16000.00
381	337000.00	16000.00
382	336333.33	16000.00
383	335666.67	16000.00
384	335000.00	16000.00
385	334333.33	16000.00
386	333666.67	16000.00
387	333000.00	16000.00
388	332333.33	16000.00
389	331666.67	16000.00
390	331000.00	16000.00
391	330333.33	16000.00
392	329666.67	16000.00
393	329000.00	16000.00
394	328333.33	16000.00
395	327666.67	16000.00
396	327000.00	16000.00
397	326333.33	16000.00
398	325666.67	16000.00
399	325000.00	16000.00
400	324333.33	16000.00
401	323666.67	16000.00
402	323000.00	16000.00
403	322333.33	16000.00
404	321666.67	16000.00
405	321000.00	16000.00
406	320333.33	16000.00
407	319666.67	16000.00
408	319000.00	16000.00
409	318333.33	16000.00
410	317666.67	16000.00
411	317000.00	16000.00
412	316333.33	16000.00
413	315666.67	16000.00
414	315000.00	16000.00
415	314333.33	16000.00
416	313666.67	16000.00
417	313000.00	16000.00
418	312333.33	16000.00
419	311666.67	16000.00
420	311000.00	16000.00
421	310333.33	16000.00
422	309666.67	16000.00
423	309000.00	16000.00
424	308333.33	16000.00
425	307666.67	16000.00
426	307000.00	16000.00
427	306333.33	16000.00
428	305666.67	16000.00
429	305000.00	16000.00
430	304333.33	16000.00
431	303666.67	16000.00
432	303000.00	16000.00
433	302333.33	16000.00
