frame	x	v
269	663666.66	16000.00
270	662999.99	16000.00
271	662333.32	16000.00
272	661666.66	16000.00
273	660999.99	16000.00
274	660333.32	16000.00
275	659666.66	16000.00
276	658999.99	16000.00
277	658333.32	16000.00
278	657666.66	16000.00
279	656999.99	16000.00
280	656333.32	16000.00
281	655666.66	16000.00
282	654999.99	16000.00
283	654333.32	16000.00
284	653666.66	16000.00
285	652999.99	16000.00
286	652333.32	16000.00
287	651666.66	16000.00
288	650999.99	16000.00
289	650333.32	16000.00
290	649666.66	16000.00
291	648999.99	16000.00
292	648333.32	16000.00
293	647666.66	16000.00
294	646999.99	16000.00
295	646333.32	16000.00
296	645666.66	16000.00
297	644999.99	16000.00
298	644333.32	16000.00
299	643666.66	16000.00
300	642999.99	16000.00
301	642333.32	16000.00
302	641666.66	16000.00
303	640999.99	16000.00
304	640333.32	16000.00
305	639666.66	16000.00
306	638999.99	16000.00
307	638333.32	16000.00
308	637666.66	16000.00
309	636999.99	16000.00
310	636333.32	16000.00
311	635666.66	16000.00
312	634999.99	16000.00
313	634333.32	16000.00
314	633666.66	16000.00
315	632999.99	16000.00
316	632333.32	16000.00
317	631666.66	16000.00
318	630999.99	16000.00
319	630333.32	16000.00
320	629666.66	16000.00
321	628999.99	16000.00
322	628333.32	16000.00
323	627666.66	16000.00
324	626999.99	16000.00
325	626333.32	16000.00
326	625666.66	16000.00
327	624999.99	16000.00
328	624333.32	16000.00
329	623666.66	16000.00
330	622999.99	16000.00
331	622333.32	16000.00
332	621666.66	16000.00
333	620999.99	16000.00
334	620333.32	16000.00
335	619666.66	16000.00
336	618999.99	16000.00
337	618333.32	16000.00
338	617666.66	16000.00
339	616999.99	16000.00
340	616333.32	16000.00
341	615666.66	16000.00
342	614999.99	16000.00
343	614333.32	16000.00
344	613666.66	16000.00
345	612999.99	16000.00
346	612333.32	16000.00
347	611666.66	16000.00
348	610999.99	16000.00
349	610333.32	16000.00
350	609666.66	16000.00
351	608999.99	16000.00
352	608333.32	16000.00
353	607666.66	16000.00
354	606999.99	16000.00
355	606333.32	16000.00
356	605666.66	16000.00
357	604999.99	16000.00
358	604333.32	16000.00
359	603666.66	16000.00
360	602999.99	16000.00
361	602333.32	16000.00
362	601666.66	16000.00
363	600999.99	16000.00
364	600333.32	16000.00
365	599666.66	16000.00
366	598999.99	16000.00
367	598333.32	16000.00
368	597666.66	16000.00
369	596999.99	16000.00
370	596333.32	16000.00
371	595666.66	16000.00
372	594999.99	16000.00
373	594333.32	16000.00
374	593666.66	16000.00
375	592999.99	16000.00
376	592333.32	16000.00
377	591666.66	16000.00
378	590999.99	16000.00
379	590333.32	16000.00
380	589666.66	16000.00
381	588999.99	16000.00
382	588333.32	16000.00
383	587666.66	16000.00
384	586999.99	16000.00
385	586333.32	16000.00
386	585666.66	16000.00
387	584999.99	16000.00
388	584333.32	16000.00
389	583666.66	16000.00
390	582999.99	16000.00
391	582333.32	16000.00
392	581666.66	16000.00
393	580999.99	16000.00
394	580333.32	16000.00
395	579666.66	16000.00
396	578999.99	16000.00
397	578333.32	16000.00
398	577666.66	16000.00
399	576999.99	16000.00
400	576333.32	16000.00
401	575666.66	16000.00
402	574999.99	16000.00
403	574333.32	16000.00
404	573666.66	16000.00
405	572999.99	16000.00
406	572333.32	16000.00
407	571666.66	16000.00
408	570999.99	16000.00
409	570333.32	16000.00
410	569666.66	16000.00
411	568999.99	16000.00
412	568333.32	16000.00
413	567666.66	16000.00
414	566999.99	16000.00
415	566333.32	16000.00
416	565666.66	16000.00
417	564999.99	16000.00
418	564333.32	16000.00
419	563666.66	16000.00
420	562999.99	16000.00
421	562333.32	16000.00
422	561666.66	16000.00
423	560999.99	16000.00
424	560333.32	16000.00
425	559666.66	16000.00
426	558999.99	16000.00
427	558333.32	16000.00
428	557666.66	16000.00
429	556999.99	16000.00
430	556333.32	16000.00
431	555666.66	16000.00
432	554999.99	16000.00
433	554333.32	16000.00
434	553666.66	16000.00
435	552999.99	16000.00
436	552333.32	16000.00
437	551666.66	16000.00
438	550999.99	16000.00
439	550333.32	16000.00
440	549666.66	16000.00
441	548999.99	16000.00
442	548333.32	16000.00
